folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
swin_tiny_lf_0_01_evade_l1,4,0.9080147003392386,0.5427522144741802,0,0.8540667875989446,0.8536439251162207,0.9032541513442993,0.9017464518547058,0.2711249887943268,0.25475001335144043
swin_tiny_lf_0_05_evade_l1,4,0.9757750659630609,0.3673949852368388,1,0.9325758653725342,0.9576633920718683,0.9905766844749451,0.9800226092338562,0.25475001335144043,0.25462499260902405
swin_tiny_lf_0_1_evade_l1,4,0.9779484153159943,0.02657999591657243,1,0.9513465416509612,0.9586762941324287,0.9895715713500977,0.9557733535766602,0.2669999897480011,0.2526249885559082
swin_tiny_sig_0_01_evade_l1,4,0.5442997078778741,0.4322930644553336,1,0.4663769867445659,0.48257557482095736,0.18720944225788116,0.24199019372463226,0.25337499380111694,0.2619999945163727
swin_tiny_sig_0_05_evade_l1,4,0.5775414467897977,0.42154515328558867,2,0.5044335971855761,0.4869583333333334,0.21849478781223297,0.21020229160785675,0.2553749978542328,0.2630000114440918
swin_tiny_sig_0_1_evade_l1,4,0.5747374356074884,0.3730270919713532,1,0.49328765391380824,0.48507724745571046,0.24387486279010773,0.260711133480072,0.2698749899864197,0.2737500071525574
swin_tiny_tact_0_01_evade_l1,4,0.5037210390752607,0.48363398354064585,2,0.4955079783892449,0.4947647238974745,0.2355823665857315,0.23721572756767273,0.2370000034570694,0.2407499998807907
swin_tiny_tact_0_05_evade_l1,4,0.5018878392385978,0.4886198014825983,2,0.49225121717552456,0.494437327239603,0.23633621633052826,0.25568538904190063,0.25062501430511475,0.257874995470047
swin_tiny_tact_0_1_evade_l1,4,0.5025761166603845,0.49397333992963943,3,0.495511001696193,0.4958209338484735,0.2519160807132721,0.23997989296913147,0.25,0.24387499690055847
swin_tiny_wanet_0_01_evade_l1,4,0.6576921723834652,0.358923820517653,1,0.6010662614650082,0.5578793739791431,0.26284709572792053,0.27729615569114685,0.25087499618530273,0.25850000977516174
swin_tiny_wanet_0_05_evade_l1,4,0.9710891757758513,0.046924189596683,3,0.9564624952883529,0.3300616597562508,0.9460987448692322,0.23621058464050293,0.2535000145435333,0.25949999690055847
swin_tiny_wanet_0_1_evade_l1,4,0.9365850059680865,0.020562217301168487,3,0.8760093761779117,0.2915897725844956,0.8552582263946533,0.2139715999364853,0.2541249990463257,0.25687500834465027
vit_cifar100_adaptive_blend_0_01_evade_l1,4,0.8740167403663929,0.39555410612760583,1,0.7468878711307644,0.5313215492735313,0.5946936011314392,0.2502842843532562,0.265625,0.26249998807907104
vit_cifar100_adaptive_blend_0_05_evade_l1,4,0.9659273926089703,0.14232845862286797,1,0.9337582991156032,0.9170208385975995,0.9504737854003906,0.8965255618095398,0.2581250071525574,0.2593750059604645
vit_cifar100_adaptive_blend_0_1_evade_l1,4,0.945517980101074,0.1544599968414403,1,0.9221731522425773,0.9284259949463045,0.9324068427085876,0.8956412076950073,0.25099998712539673,0.24674999713897705
vit_cifar100_badnet_a2a_0_01_evade_l1,4,0.8249385156249999,0.44323532031250007,1,0.6628034140625001,0.74418265625,0.4358749985694885,0.6087499856948853,0.23262499272823334,0.25462499260902405
vit_cifar100_badnet_a2a_0_05_evade_l1,4,0.603891515625,0.3667358125,2,0.40119490625,0.48408713281250004,0.10612499713897705,0.19975000619888306,0.25874999165534973,0.2685000002384186
vit_cifar100_badnet_a2a_0_1_evade_l1,4,0.52212625,0.3153687421875,3,0.351762703125,0.3703497578125,0.10562500357627869,0.11262500286102295,0.26750001311302185,0.27649998664855957
vit_cifar100_badnet_a2o_0_01_evade_l1,4,0.9730808117498422,0.013548215413771318,1,0.9140942435249526,0.6259464624131397,0.9967150688171387,0.1638660728931427,0.2697499990463257,0.2566249966621399
vit_cifar100_badnet_a2o_0_05_evade_l1,4,0.9805373025900188,0.0022478048010107425,1,0.9358530006317121,0.8065411481364497,0.9954516887664795,0.9292482733726501,0.2590000033378601,0.24962499737739563
vit_cifar100_badnet_a2o_0_1_evade_l1,4,0.9857090571699304,0.00040595388502842877,1,0.952157698989261,0.7886116077068857,0.9989892840385437,0.6458622813224792,0.2762500047683716,0.27000001072883606
vit_cifar100_blend_0_01_evade_l1,4,0.9729256317119394,0.36691917245735944,1,0.9312984365129501,0.8683154611497158,0.9981048703193665,0.998736560344696,0.27512499690055847,0.2711249887943268
vit_cifar100_blend_0_05_evade_l1,4,0.9920016029690462,0.6516407375236892,0,0.9610952621604548,0.8907653348073279,1.0,0.9852179288864136,0.2626250088214874,0.2535000145435333
vit_cifar100_blend_0_1_evade_l1,4,0.9746217545799114,0.003012018319646232,2,0.9263261528742893,0.7820632738471257,0.9879974722862244,0.9842072129249573,0.2542499899864197,0.24937500059604645
vit_cifar100_bpp_0_01_evade_l1,4,0.970684491471889,0.5205863945041062,0,0.94082114655717,0.8430860470625394,0.9631080031394958,0.7502210736274719,0.25212499499320984,0.2433750033378601
vit_cifar100_bpp_0_05_evade_l1,4,0.9804659033480733,0.08848448357548958,1,0.958517458938724,0.9268393082754264,0.978269100189209,0.9502211213111877,0.2485000044107437,0.27799999713897705
vit_cifar100_bpp_0_1_evade_l1,4,0.9098136212886923,0.05733292008843967,1,0.823724249842072,0.8106848783954517,0.9019582867622375,0.7078964114189148,0.23787499964237213,0.2671250104904175
vit_cifar100_lc_0_01_evade_l1,4,0.725662468414403,0.3437938092229943,3,0.6448228916614024,0.49642756632975366,0.5183827877044678,0.1698041707277298,0.26887500286102295,0.28212499618530273
vit_cifar100_lc_0_05_evade_l1,3,0.5061348547062539,0.3818632975363234,2,0.3943535454832596,0.42154584649399873,0.11585596948862076,0.09159822762012482,0.2460000067949295,0.25862500071525574
vit_cifar100_lc_0_1_evade_l1,4,0.5015970862286796,0.40253776847757416,3,0.4554903348073278,0.38759020056854077,0.29058748483657837,0.0771951973438263,0.2643750011920929,0.26124998927116394
vit_cifar100_lf_0_01_evade_l1,4,0.8958387792166771,0.20635316645609603,1,0.7981011370814909,0.6658368051168667,0.7168667316436768,0.40897029638290405,0.23662500083446503,0.2565000057220459
vit_cifar100_lf_0_05_evade_l1,4,0.9806686986734049,0.03824007422615287,1,0.9444776847757421,0.8880212176247632,0.9838281869888306,0.9816803336143494,0.2498749941587448,0.25874999165534973
